iter	Passed	Remaining
0	199	199440
1	254	126815
2	306	101714
3	361	89944
4	413	82218
5	464	77007
6	514	73027
7	572	70977
8	628	69258
9	684	67725
10	729	65556
11	775	63820
12	821	62394
13	870	61316
14	920	60434
15	967	59526
16	1015	58691
17	1060	57873
18	1106	57120
19	1149	56338
20	1193	55626
21	1237	54991
22	1280	54396
23	1324	53850
24	1368	53385
25	1415	53042
26	1460	52634
27	1504	52236
28	1553	52008
29	1599	51724
30	1645	51425
31	1689	51111
32	1734	50816
33	1777	50508
34	1822	50237
35	1870	50098
36	1922	50047
37	1972	49935
38	2026	49936
39	2080	49938
40	2135	49944
41	2186	49874
42	2239	49846
43	2288	49724
44	2337	49613
45	2391	49587
46	2442	49529
47	2496	49504
48	2552	49539
49	2613	49665
50	2668	49653
51	2722	49634
52	2773	49557
53	2827	49530
54	2878	49450
55	2933	49446
56	2990	49481
57	3044	49443
58	3094	49351
59	3145	49285
60	3197	49221
61	3248	49143
62	3338	49650
63	3446	50408
64	3521	50661
65	3609	51078
66	3678	51223
67	3735	51194
68	3802	51301
69	3871	51431
70	3924	51347
71	3982	51331
72	4037	51267
73	4097	51268
74	4154	51234
75	4205	51134
76	4260	51069
77	4316	51028
78	4375	51014
79	4431	50956
80	4481	50844
81	4535	50773
82	4595	50775
83	4650	50711
84	4710	50703
85	4765	50647
86	4832	50708
87	4894	50721
88	4961	50784
89	5019	50756
90	5080	50753
91	5140	50729
92	5197	50693
93	5254	50642
94	5309	50580
95	5364	50513
96	5423	50488
97	5481	50456
98	5543	50450
99	5600	50402
100	5647	50267
101	5701	50198
102	5766	50218
103	5821	50156
104	5874	50069
105	5927	49996
106	5980	49914
107	6030	49808
108	6082	49720
109	6138	49662
110	6192	49591
111	6245	49517
112	6303	49480
113	6364	49465
114	6419	49401
115	6471	49316
116	6525	49245
117	6582	49198
118	6636	49135
119	6694	49093
120	6749	49034
121	6804	48968
122	6858	48902
123	6909	48809
124	6958	48707
125	7013	48646
126	7068	48586
127	7122	48521
128	7171	48423
129	7226	48359
130	7280	48296
131	7340	48270
132	7401	48247
133	7454	48178
134	7510	48120
135	7570	48093
136	7629	48058
137	7684	47998
138	7739	47938
139	7795	47888
140	7851	47832
141	7905	47765
142	7960	47708
143	8016	47652
144	8071	47592
